Authors,Author(s) ID,Title,Label_01,Label_02,Abstract,Year,Source title,Author Keywords,text
"Islam M.N., Furuoka F., Idris A.",57215321946;24464870400;35096160900;,Transformational leadership and employee championing behavior during organizational change: the mediating effect of work engagement,style_transformational,leadership_style,"Purpose: The research aims to investigate the impact of transformational leadership on employee championing behavior and to determine the mediating effect of work engagement in the context of organizational change. Design/methodology/approach: This is a quantitative approach, which is based on cross-sectional data. In total, 300 available cases are processed through structural equation modeling in order to infer the results. Findings: The results indicate that transformational leadership is significantly related to championing behavior during organizational change. Moreover, work engagement fully mediates the relationship between transformational leadership and championing behavior in the context of organizational change. Practical implications: Managers should emphasize the practice of the transformational leadership approach, as well as should stress the antecedents of work engagement in order to foster the employee championing behavior in the context of organizational change. Originality/value: The research contributes to the change management and human resource management literature by providing a plausible explanation of the mediating role of work engagement in connecting transformational leadership and employee championing behavior in the context of organizational change. © 2020, Emerald Publishing Limited.",2022,South Asian Journal of Business Studies,Championing behavior; Organizational change; Transformational leadership; Work engagement,Championing behavior; Organizational change; Transformational leadership; Work engagement
"Ghani E.K., Mohamed N., Tajudin M.A., Muhammad K.",35098434100;57218104478;57225196447;56926348400;,"The Effect of Leadership Style, Organisational Culture and Internal Control on Asset Misappropriation",organizational,organizational,"Recent fraud cases in Malaysia have become the most serious issue that is related to companies or the public sector. In a company, asset misappropriation has become a major concern to the management of the company because asset misappropriation may seemingly be an insignificant behaviour that will not give so much impact to a company but if it is not treated, it will become worse and it will be difficult to solve. This study analyses the factors that affect asset misappropriation occurrence in a company. Specifically, this study examines the effect of leadership style, organisational culture and internal control on asset misappropriation in an organisation. Using questionnaire survey on 137 employeesin a company, thisstudy shows that all three factors; leadership style, organisational culture and internal control have significant influence on asset misappropriation occurrences in the company, although the effect is negative. The findingsin thisstudy provide insights on fraud to the management of the company. Consequently, this study can assist the management of the company to execute an effective internal control mechanism as well as establish policies pertaining to fraudactivities to ensure that the recent case fraud involving the company will be the last one to occur. In addition, the findings from the study could also motivate employees to prevent any fraudulent activities. © 2021. All Rights Reserved.",2021,Academy of Accounting and Financial Studies Journal,Case Study; Employees; Internal Control; Leadership Style; Malaysia; Organisational Culture,Case Study; Employees; Internal Control; Leadership Style; Malaysia; Organisational Culture
Sengupta S.,57834591200;,The malady of mediocrity,others,others,"Purpose: Managerial mediocrity – that characteristic of being somewhere in the middle in terms of capability or aptitude – is an understudied phenomenon and yet has significant impact on organizational effectiveness, performance and goodwill. Organizations must therefore be able to identify mediocrity, and take prompt action to eradicate it. What are some of the symptoms of mediocrity, and what are the steps that an organization can take? These are the questions that this article attempts to answer. Design/methodology/approach: This is a paper expressing viewpoint. Findings: While the managers are not are expected to be excellent in all aspects, being consistently in the average bracket has far reaching consequences. Companies who have a sizeable number of employees in this category struggle when it comes to pursuing organizational vision and goals. Most performance management systems revolve around the top performers and the non-performers, rewarding the former and penalizing the latter. More often than not, the mediocre populace is largely untouched. Social implications: Future researchers can study the highlighted gaps in regards to commitment to change. Further it provides researchers a brief summary of 55 research studies on commitment to change. Originality/value: This is an original article. © 2022, Emerald Publishing Limited.",2022,Journal of Organizational Change Management,Human resources development; Leadership; Leadership development; Manager development; Mediocrity; Performance; Work culture,Human resources development; Leadership; Leadership development; Manager development; Mediocrity; Performance; Work culture
"Hu W., Zhao F., Zhang Y., Lu T.",57699152300;55460545000;57224646445;57366725300;,GREEN HUMAN RESOURCE PRACTICE AND TEAM INNOVATION PERFORMANCE: ROLES OF TEAM BOUNDARY-SPANNING BEHAVIOR AND RESPONSIBLE LEADERSHIP [ŽALIOJI ŽMOGIŠKŲJŲ IŠTEKLIŲ PRAKTIKA IR KOMANDOS INOVACIJŲ VEIKLA: KOMANDOS RIBŲ PERŽENGIMO ELGSENA IR ATSAKINGAS VADOVAVIMAS],style_ethical,leadership_style,"The green human resources practice aims to achieve harmonious development between employees and the environment, employees and organizations, and employees and stakeholders by stimulating individual green behavior, thereby enhancing team innovation performance. Although team boundary-spanning behavior is one of the important factors affecting team innovation, existing study has scarcely paid attention to the impact of green human resource practice on team innovation performance. Thus, to explore the internal mechanism and boundary conditions of the influence of green human resource practice on team innovation performance, 312 questionnaire survey data from 23 large enterprises in the service, financial, construction and education industries in China from October 2020 to March 2021 was used. Based on resource dependence theory, from the perspective of team boundary-spanning behavior, the intermediary mechanism and boundary conditions between team green human resource practice and team innovation performance were examined. Results show that green human resource practice has a positive effect on team boundary-spanning behavior and team innovation performance; team boundary-spanning behavior mediates the relationship between green human resource practices and team innovation performance; responsible leadership moderates the impact of green human resource practice on team innovation performance. At the team level, this study reveals the impact mechanism of green human resource practices on team innovation performance and determines the boundary conditions that affect the existence. Conclusions lay a theoretical foundation for the expansion of green human resource practice and provide a decision-making reference for the improvement of team innovation performance. © Vilnius University.",2021,Transformations in Business and Economics,Green human resource management; Responsible leadership; Team boundary-spanning behavior; Team innovation performance,Green human resource management; Responsible leadership; Team boundary-spanning behavior; Team innovation performance
Sharma P.N.,52164370700;,Moving beyond the employee: The role of the organizational context in leader workplace aggression,organizational,organizational,"Management and psychology scholars are increasingly seeking to examine how organizational characteristics that contextualize leadership shape the occurrence, impact, and prevention of leader workplace aggression. However, a comprehensive review of this literature has not yet been conducted, so a systematic understanding is lacking regarding questions including: (1) when, why and how is such aggression more likely to occur; (2) how do contextual factors enable or constrain effects of these leader behaviors on employees; and (3) how can organizations proactively manage their internal dynamics to prevent or reduce such incidences? Drawing on Porter and McLaughlin's (2006) components of organizational context, I review existing leader aggression research that intersects with seven categories: (1) culture/climate; (2) goals/purposes; (3) people/composition; (4) processes; (5) state/condition; (6) structure; and (7) time. I then offer theoretical propositions for future work, which are grounded in the roles and responsibilities inherent to the nature of leadership and coupled with the changing nature of organizational life. As a result, I set the research agenda for the next decade of organizational context × leader workplace aggression studies. © 2017 Elsevier Inc.",2018,Leadership Quarterly,Leadership; Mistreatment; Organizational context; Workplace aggression,Leadership; Mistreatment; Organizational context; Workplace aggression
"Titi Amayah A., Haque M.D.",55761481600;57190982462;,Experiences and Challenges of Women Leaders in Sub-Saharan Africa,organizational,organizational,"There is little research on non-Western women managers and leaders in general, and on African women in particular. More attention could be given to influences that shape leadership experiences in order to better understand African women leadership practices. The purpose of this paper is to examine the challenges females in positions of leadership face in the context of sub-Saharan Africa. In so doing, it addresses a gap in the literature on the experiences of female leaders in a non-Western context. The paper reviews articles in the printed media on African female leaders produced in sub-Saharan Africa. The articles identify a number of challenges sub-Saharan African women leaders face, including societal culture, occupational culture, sex stereotypes, and lack of access to education. Studies such as this one can provide insight into how African leaders behave, as well as raise implications of their behavior for organizational and socioeconomic outcomes, with a view to improving their effectiveness. © 2017, © 2017 Africa Academy of Management.",2017,Africa Journal of Management,African women leaders; culture; gender stereotypes; leadership; manager,African women leaders; culture; gender stereotypes; leadership; manager
"El-adaway I.H., Jennings M.",21740839700;7202126932;,Professional and Organizational Leadership Role in Ethics Management: Avoiding Reliance on Ethical Codification and Nurturing Ethical Culture,style_ethical,leadership_style,"The engineering profession has experienced some ethical cases that were rarely reported, scrutinized, or discussed because: they did not necessarily represent violations of existing codes even if they breached ethical principles; those within the organization were not prepared to take steps to address the issues or impose sanction; an/or some of the personnel associated with these cases resorted to silence to avoid being labeled as trouble-makers in their organizations and, perhaps, more broadly, in society. The goal of this paper is to heighten managerial awareness of ethical issues, interrelated ethical lapses, and appropriate responsive actions within professional engineering communities. As such, the authors reviewed recent well-known professional and organizational ethical cases including impact of leadership role and existing standards, and critically analyzed interrelated literature. The paper’s case studies exemplify that because ethical issues are complex, intricate, and nuanced; bylaws are insufficient for establishing the inclusive culture for handling potential ethical situations. In fact, through what is known as the codification of ethics, it is possible that someone’s conduct can totally fulfill all professional responsibilities but still be unethical. As such, ethical leadership is needed to provide the means for establishing appropriate norms so as to set the proper structures for addressing the diverse ethical matters. Perceptions about the responses of leaders to potential ethical lapses are a critical factor in formulating, changing, and maintaining ethical values at the individual and organizational levels. A leader’s passive attitude toward ethical issues can be the signal for the ignored lapses to become the norm at not only the organizational level but also the society. Guided by the new Code of Ethics by the American Society of Civil Engineers, this paper aims to trigger the proper ethical behavior and expectations for the welfare of the engineering profession both in the present and future. © 2022, The Author(s), under exclusive licence to Springer Nature B.V.",2022,Science and Engineering Ethics,Bylaws; Bystanders; Codifications; Ethical codes; Ethical culture; Ethical norms; Ethics; Leadership; Principles; Standards; Values,Bylaws; Bystanders; Codifications; Ethical codes; Ethical culture; Ethical norms; Ethics; Leadership; Principles; Standards; Values
Mastracci S.,6506294866;,Beginning Nurses’ Perceptions of Ethical Leadership in the Shadow of Mid Staffs,style_ethical,leadership_style,"Prior research has established the role of ethical leadership in promoting positive workplace outcomes. Nevertheless, in the wake of scandal, what is the perception of ethical leadership by new entrants into the scandalized profession? Can ethical leadership still promote positive behavior? Path analysis using survey data from 159 beginning nurses reveals the presence of ethical leadership after the worst tragedy in the history of England’s National Health Service (NHS). Furthermore, nurses respond to perceived ethical leadership with increased helping behaviors and decreased experience of burnout. This confirms and extends previous research linking ethical leadership to job satisfaction, organizational commitment, and job engagement, and to an increased likelihood to report unethical practice. Survey respondents entered nursing at a time when the profession was highly scrutinized in the shadow of crisis at the Mid Staffordshire NHS Foundation Trust. © 2017, Copyright © American Society for Public Administration.",2017,Public Integrity,emotional labor; ethical leadership; Francis Report; NHS England; organizational citizenship behavior,emotional labor; ethical leadership; Francis Report; NHS England; organizational citizenship behavior
"Mo S., Shi J.",12239567200;15050938700;,Linking Ethical Leadership to Employees’ Organizational Citizenship Behavior: Testing the Multilevel Mediation Role of Organizational Concern,style_ethical,leadership_style,"This study empirically examined the propositions that ethical leadership is related to employees’ organizational citizenship behavior (OCB) through two psychological mechanisms: (a) a social learning mechanism, where employees emulate their supervisor’s behavior such as caring about their organization; and (b) a social exchange mechanism that links ethical leadership to perceived procedural justice and employee’s organizational concern. Our theoretical model was tested using data collected from employees in a pharmaceutical retail chain company. Analyses of multisource time-lagged data from 93 team supervisors and 486 employees showed that supervisors’ and employees’ organizational concern sequentially mediated the relationship between ethical leadership and employee OCB. It was also found that the link between ethical leadership and employee OCB was sequentially mediated by perceived procedural justice and employee’s organizational concern. Theoretical and practical implications of these findings are discussed. © 2015, Springer Science+Business Media Dordrecht.",2017,Journal of Business Ethics,Ethical leadership; Organizational citizenship behavior; Organizational concern; Procedural justice,Ethical leadership; Organizational citizenship behavior; Organizational concern; Procedural justice
"Eivazzadeh N., Nadiri H.",57697784500;15731449800;,AN EMPIRICAL STUDY TO INVESTIGATE THE COERCIVE MANAGEMENT BEHAVIOR: EVIDENCE FROM ACADEMIA,style_transactional,leadership_style,"The current study aimed to investigate the relationship between compulsory citizenship behavior and turnover intention of academics in Iranian universities. The effects of other components, such as the perception of organizational justice and psychological security, on this relationship were tested as mediators. Moreover, some demographic elements were considered as controlling factors. The nonprobability convenience sampling method used to collect the data, which were analyzed statistically by applying CFA and structural equation modeling (Path Diagram followed by the maximum likelihood estimation method). It was determined compulsory citizenship behavior increases the academics’ turnover intention in Iranian universities while mediation elements, such as organizational justice and psychological security, reduce this negative consequence. The result shows that reducing the negative influence of CCB in the organization causes less percentage of turnover intention. Rising the employees’ perception of organizational justice and their psychological security, is helpful for the administration to achieve this goal. Findings notify managers that (1) fairness in all work-related outcomes and (2) making the working environment psychologically secure decreases the academics’ intention to leave although they feel the pressure of doing extra-role duties. The most interesting finding is that psychological security held a substantially stronger effect on reducing the negative consequences of CCB than organizational justice. For organizations and managers, the emphasis should be on preparing work environments supportive of high organizational justice and employees’ psychological security to maintain turnover intention at its lowest levels. Regarding the compatibility of the study with the Journal focus, we can mention that results will allow HR practitioners a better understanding of essential factors they have to focus in their leadership style and management efforts to reduce the financial and spiritual costs of turnover intention. © 2022, Technical University of Liberec. All rights reserved.",2022,E a M: Ekonomie a Management,Compulsory citizenship behavior; Human resource management; Organizational justice perception; Psychological security; Turnover intention,Compulsory citizenship behavior; Human resource management; Organizational justice perception; Psychological security; Turnover intention
"Maheshwari M., Samal A., Bhamoriya V.",57195136994;57213157626;6504514707;,Role of employee relations and HRM in driving commitment to sustainability in MSME firms,style_ethical,leadership_style,"Purpose: The purpose of this study is to explore the role of employee relations and human resource management (HRM) practices on firms' commitment to sustainability in the context of micro, small and medium enterprises (MSME) in India. This paper proposes a theoretical framework, namely “awareness, action, comprehensiveness, and excellence (AACE),” to present the solutions and practices as adopted by MSME firms in meeting their sustainability objectives alongside pluralistic constraints related to human resource, capital and legitimacy risk. Design/methodology/approach: The paper employs a cross-case methodology to investigate five food processing MSME firms to understand and delineate the role of employee relations and HRM practices in driving their commitment to sustainability. Findings: The paper discusses the status of employee relations and HRM practices as practiced by MSME firms, specifically designed to meet their agenda to strengthen their commitment to sustainability. The study proposes a framework constituting four levels, namely “awareness, action, comprehensiveness, and excellence (AACE),” that reflects HRM practices as adopted by MSME firms to develop their commitment to sustainability. Social implications: MSMEs and food processing industries are critical to the growth of Indian economy and likewise for other emerging and developing economies. They are especially critical for their contribution to overall employment and sustainability comprising the second, third and fourth supplier links in supply chains. They have a major impact on sustainability outcomes and the life quality of employees. This paper makes a contribution in this direction. Originality/value: The study fulfills the need to explore the role of employee relations and HRM practices to develop “commitment to sustainability” in the context of food processing MSME firms in an emerging economy of India. This paper adds an understanding of people management practices and sustainability in small firms (MSMEs), adding to the existing literature on the domain, which is mostly skewed toward large firms. © 2020, Emerald Publishing Limited.",2020,International Journal of Productivity and Performance Management,AMO theory; Commitment to sustainability; Employee relations; HRM; Leadership; Triple bottom line (TBL),AMO theory; Commitment to sustainability; Employee relations; HRM; Leadership; Triple bottom line (TBL)
